Model,repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
LogisticRegression,30,0.8805970149253733,0.770127118644068,0.7236842105263155,0.7432950191570882,0.9030701754385966,0.9780528740273089
SVM,30,0.8955223880597019,0.8299180327868853,0.7118421052631582,0.7515889830508475,0.928099415204678,0.9742673820127572
RandomForest,30,0.877363184079602,0.7714727712270982,0.6853654970760233,0.7147519436087656,0.8928654970760235,0.9807952177373747
GradientBoosting,30,0.8937810945273633,0.7869492871502246,0.8358771929824559,0.8078647364534707,0.905906432748538,0.9595951973115384
MultinomialNB,30,0.7761194029850745,0.6529605263157898,0.7447368421052628,0.6699507389162561,0.7736842105263159,0.9594516631592686
