Model,repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
LogisticRegression,30,0.8557692307692305,0.6105442176870748,0.554945054945055,0.5655806182121972,0.7511975204282897,0.9986419753086418
SVM,30,0.8804487179487178,0.8309638047138047,0.5591575091575093,0.5621052631578948,0.854719639335024,0.9737109053497941
RandomForest,30,0.8749999999999999,0.6844786348248688,0.5516483516483516,0.559943917811479,0.939898562975486,0.9956509773662551
GradientBoosting,30,0.9105769230769234,0.8291622876994895,0.7126373626373624,0.7531685297400504,0.9000986193293887,0.9701844135802469
MultinomialNB,30,0.8346153846153845,0.5916822608723138,0.5802197802197804,0.5831280016150283,0.6614257537334463,0.9591379243827161
