Model,repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
LogisticRegression,30,0.9072847682119203,0.851294903926483,0.7759186351706039,0.8064102564102564,0.9248687664041992,0.9879162295897788
SVM,30,0.9072847682119203,0.8655092592592591,0.7590223097112864,0.7982824427480918,0.8874890638670169,0.9792908275354651
RandomForest,30,0.8629139072847684,0.78713881979718,0.610990813648294,0.6408588092788311,0.8694881889763779,0.9932947297951317
GradientBoosting,30,0.8883002207505517,0.8253189370967108,0.7100010936132982,0.748117298163534,0.8603674540682413,0.9895662653700334
MultinomialNB,30,0.8807947019867549,0.7758665966386559,0.8446522309711286,0.8027003484320556,0.9120734908136481,0.9735687978769468
