Model,repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
LogisticRegression,30,0.9482758620689654,0.9727272727272727,0.75,0.819314641744548,0.8814102564102562,0.9982921214821416
SVM,30,0.9137931034482762,0.7969696969696969,0.6570512820512818,0.6988577362409139,0.8557692307692306,0.9974691220514343
RandomForest,30,0.9040229885057475,0.8140298663324977,0.5778846153846154,0.607058516576865,0.9387820512820514,0.9960854929333431
GradientBoosting,30,0.8965517241379313,0.7053571428571427,0.5737179487179487,0.597222222222222,0.8566239316239316,0.9777454456572857
MultinomialNB,30,0.8103448275862067,0.6044487427466153,0.6730769230769231,0.6209150326797387,0.7788461538461537,0.9978465879557437
